Site Code,Location*,Ward,Enforcement Start Date,Enforcement End Date,44013,44044,44075,44105,44136,44166,44197,44228,44256,44287,44317,44348,44378,44409,44440,44470,44501,44531,44562,44593,44621,44652,44682,44713,44743,44774,44805,44835,44866,44896,44927,44958,44986,45017,45047,45078,45108,45139,45170,45200,45231
A001,Royalcrest Rd. Near Cabernet Circle,1,2020-07-06T00:00:00Z,44146,1117,479,487,354,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A002,Harefield Dr. Near Barford Rd.,1,2020-07-06T00:00:00Z,44129,43,21,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A003,Renforth Dr. Near Lafferty St.,2,2020-07-06T00:00:00Z,44129,2428,1665,1037,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A004,Trehorne Dr. Near Duffield Rd.,2,2020-07-06T00:00:00Z,44129,837,415,239,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A005,Horner Ave. Near Orianna Dr.,3,2020-07-06T00:00:00Z,44129,665,350,96,247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A006,Chartwell Rd. South of Larstone Ave.,3,2020-07-06T00:00:00Z,44129,17,3,6,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A007,Jameson Ave. South of Laxton Ave.,4,2020-07-06T00:00:00Z,44177,400,524,524,443,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A008,Close Ave. South of Queen St. W.,4,2020-07-06T00:00:00Z,44129,37,64,35,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A009,Bicknell Ave. South of Avon Dr.,5,2020-07-06T00:00:00Z,44129,1665,1164,545,636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A010,Brookhaven Dr. North of Nordale Cres.,5,2020-07-06T00:00:00Z,44129,331,301,149,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A011,Faywood Blvd. Near Laurelcrest Ave.,6,2020-07-06T00:00:00Z,44129,299,271,67,189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A012,Wilmington Ave. North of Purdon Dr.,6,2020-07-06T00:00:00Z,44129,1242,1025,253,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A013,Derrydown Rd. North of Catford Rd.,7,2020-07-06T00:00:00Z,44129,1,10,16,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A014,Grandravine Dr. East of Jane St.,7,2020-07-06T00:00:00Z,44146,231,146,112,71,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A015,Corona St. South of Claver Ave.,8,2020-07-06T00:00:00Z,44146,315,120,83,64,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A016,Ridge Hill Dr. West of Old Park Rd.,8,2020-07-06T00:00:00Z,44159,578,344,242,159,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
