Site Code,Location*,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023
A007,Jameson Ave. South of Laxton Ave.,0,0,0,0,0,0,164,572,486,940,664
A215,Dufferin St. South of Claver Ave.,58,0,0,0,0,0,0,0,0,0,0
A016,Ridge Hill Dr. Westbound West of Old Park Rd.,0,0,0,0,0,0,537,504,359,134,305
A017,Caledonia Rd. Southbound North of Rogers Rd.,0,0,0,0,0,0,0,640,519,310,349
A018,Gladstone Ave. Southbound South of Cross St.,0,62,587,496,424,228,835,821,576,484,598
A037,Main St. Northbound South of Swanwick Ave.,0,12,65,38,60,54,95,71,66,67,218
A055,Mimico Ave. Westbound West of Station Rd.,0,201,361,343,544,369,672,501,386,83,217
A250,Kipling Ave. Northbound North of Rowntree Rd.,820,284,493,256,363,346,66,0,0,0,0
A251,Humberwood Blvd. South of Pinecone Dr.,665,399,605,300,451,472,87,0,0,0,0
A252,Bloor St. W. Westbound Near 4034 Bloor St. W.,653,722,1271,700,568,980,464,0,0,0,0
A253,Allanhurst Dr. Westbound Near Mulham Place,156,88,113,149,148,97,13,0,0,0,0
A254,Burnhamthorpe Rd. West of Dundas St. W.,284,155,176,141,209,152,58,0,0,0,0
A255,Norseman St. Near Lothian Ave.,616,327,417,43,260,288,102,0,0,0,0
A256,Dundas St. W. Eastbound East of Watkinson Ave.,282,49,129,55,170,166,101,0,0,0,0
A258,Keele St. Southbound Near Nashville Ave.,329,93,43,106,123,244,73,0,0,0,0
A259,Emmett Ave. Eastbound Near 75 Emmett Ave.,164,88,145,86,111,151,22,0,0,0,0
A260,Keele St. Northbound North of Wandle Ave.,1139,725,1268,258,666,858,123,0,0,0,0
A261,Giltspur Dr. Westbound Near 120 Giltspur Dr.,216,147,132,177,177,174,30,0,0,0,0
A262,Weston Rd. South of Burgundy Court.,1033,684,628,534,476,681,139,0,0,0,0
A263,Duncanwoods Dr. West of Gracedale Blvd.,158,117,183,117,148,181,14,0,0,0,0
A264,Neptune Dr. Eastbound West of Bathurst St.,142,142,126,75,56,111,15,0,0,0,0
A265,Glengrove Ave. W. Westbound West of Glen Castle St.,171,116,153,180,308,253,56,0,0,0,0
A266,Ossington Ave. Northbound North of Churchill Ave.,397,321,282,332,482,409,425,9,0,0,0
A267,College St. Westbound Near Sheridan Ave.,194,121,132,53,149,117,239,0,0,0,0
A119,Dundas St. W. Westbound Near Carlyle St.,162,146,171,109,93,130,279,8,0,0,0
A169,Queens Quay W. Eastbound East of Bathurst St.,109,30,37,63,63,63,136,2,0,0,0
A268,Bloor St. E. Westbound East of Castle Frank Rd.,209,242,246,190,298,147,189,8,0,0,0
A269,Howland Ave. Southbound South of Wells St.,123,90,176,47,94,250,225,8,0,0,0
A270,Yonge St. Northbound Near Glen Elm Ave.,807,552,988,730,1003,1137,695,0,0,0,0
A271,Russell Hill Rd. Northbound North of Coulson Ave.,523,424,566,371,702,1390,414,0,0,0,0
A272,Alexander St. Eastbound East of Yonge St.,6,4,8,5,0,7,7,0,0,0,0
A273,Sherbourne St. Southbound South of Wellesley St. E.,411,228,372,300,429,378,582,11,0,0,0
